"","flower_symmetry","lifespan","life_form","flower_shape","breeding_system","bloom_period_simple","nectar","odour","color","flower_width_midpoint_mm","flower_length_midpoint_mm","style_length_midpoint_mm","plant_height_midpoint_m"
"Salix caprea","actinomorphic","perennial","shrub","brush","dioecious","night","present","present","green",13.9,30.3,0.2,9
"Selenicereus costaricensis","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",250,260,200,NA
"Selenicereus monacanthus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",70,135,200,NA
"Selenicereus undatus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",136,345,200,NA
"Silene caroliniana","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","absent","pink",1.9,21.2,24.1,0.15
"Silene ciliata","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","absent","pink",4,12.5,13.5,0.02
"Silene latifolia","actinomorphic","perennial","herb","tube","dioecious","night","present","present","white",24,27,17,0.45
"Silene latifolia  subsp. alba","actinomorphic","perennial","herb","tube","dioecious","night","present","present","white",9,22.3,28,0.65
"Silene lemmonii","actinomorphic","perennial","herb","tube","hermaphrodite","night","absent","absent","white",3,8,16,NA
"Silene nutans","actinomorphic","perennial","herb","tube","dioecious","night","present","present","white",3,10.9,14.5,0.42
"Silene sennenii","actinomorphic","perennial","herb","tube","hermaphrodite","night","absent","present","pink",5,11,10,0.55
"Silene stellata","actinomorphic","perennial","herb","tube","hermaphrodite","night","absent","present","white",8,9.8,20.1,1.2
"Silene virginica","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","absent","red",3.6,24.1,31.3,0.3
"Silene viscaria","actinomorphic","perennial","herb","tube","hermaphrodite","both","present","present","pink",20,12,15,0.375
"Silene vulgaris","actinomorphic","perennial","herb","tube","hermaphrodite","both","present","present","pink",20,12,15,0.375
"Soehrensia schickendantzii","actinomorphic","perennial","herb","tube","hermaphrodite","night","absent","present","white",175,180,115,2
"Soehrensia thelegona","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",142.1,182.5,133,2.5
"Sonneratia caseolaris","actinomorphic","perennial","tree","open","hermaphrodite","night","present","present","white",55,57.5,82,15
"Stachyurus praecox","actinomorphic","perennial","shrub","campanulate","dioecious",NA,"present","present","yellow",8,5,5,2.9
"Stenocereus queretaroensis","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",48,88.77,70.03,10
"Stenocereus quevedonis","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",43,75,40,6
"Stenocereus stellatus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","pink",35,67.5,37.5,4
"Stenocereus thurberi","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",18.7,79.2,58,3.4
"Syzygium laetum","actinomorphic","perennial","tree","brush","hermaphrodite",NA,"present","present","red",60.3,56.4,44.9,10
"Syzygium mundagam","actinomorphic","perennial","tree","brush","hermaphrodite",NA,"present","present","white",43.8,37.1,24.8,15
"Syzygium sayeri","actinomorphic","perennial","tree","brush","hermaphrodite","day","present","absent","white",4.47,29.48,16.19,22.5
"Tilia americana","actinomorphic","perennial","tree","open","hermaphrodite","night","present","present","yellow",12,4,4,27.5
"Tilia cordata","actinomorphic","perennial","tree","open","hermaphrodite","night","present","present","yellow",7,4,4,30
"Tilia platyphyllos","actinomorphic","perennial","tree","open","hermaphrodite","night","present","present","yellow",14.5,4,4,30
"Tillandsia heterophylla","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",14,10,70,1.5
"Tournefortia rufo-sericea","actinomorphic","perennial","shrub","tube","hermaphrodite","both","present","present","white",4,5,2,2.5
"Trichosanthes cucumerina","actinomorphic","short-lived","herb","tube","monoecious","night","present","present","white",37.5,27.5,27.5,2.5
"Trichosanthes kirilowii","actinomorphic","short-lived","herb","tube","monoecious","night","present","present","white",25,12,12,NA
"Trifolium pratense","zygomorphic","short-lived","herb","papilionaceous","hermaphrodite","both","present","present","pink",3.5,16,16,0.5
"Vaccinium angustifolium","actinomorphic","perennial","shrub","campanulate","hermaphrodite","both","present","present","white",5,5,4,0.325
"Vitis rotundifolia","actinomorphic","perennial","vine","open","dioecious",NA,"present","present","green",3.5,3.5,1,NA
"Yucca aloifolia","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","absent","present","white",55,35,17.5,2
"Yucca elata","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","absent","present","white",59.5,44.5,10,5
"Yucca filamentosa","actinomorphic","perennial","herb","campanulate","hermaphrodite","night","absent","present","white",35,35,25,2.75
