"","study_ID","country","coordinates_lat","coordinates_lon","year_start","month_start","month_end","midDate","JDay_midDate","Lat_int","Daylength"
"74","Jennersten_1988","Sweden",58.93361111,12.53361111,1986,"June","June",2023-06-15,166,59,18.2673074562806
"75","Kalinganire_2001","Kenya",0.46694444,34.85027778,1996,"July","October",2023-08-31,243,0,12.1124757929694
"76","Kays_2012","Panama",9.12777778,-79.69666667,2010,"January","February",2023-01-30,30,9,11.7278976764851
"77","Koptur_2021","United States",25.60194444,-80.40861111,2014,"May","July",2023-06-15,166,26,13.742692280196
"78","Kuriakose_2018","India",11.51694444,76.05861111,2011,"December","February",2023-07-16,197,12,12.7622258037415
"79","Kuriakose_2018","India",11.83361111,75.85861111,2011,"May","June",2023-05-31,151,12,12.772209926065
"80","Larrea-Alcázar_2011","Bolivia",-20.75027778,-65.62527778,2009,"December","February",2023-07-16,197,-21,10.9715018651392
"81","Lemaitre_2014","Chile",-33.68361111,-70.40861111,2013,"November","February",2023-07-01,182,-34,9.92943061379527
"82","Liu_2013","China",27.90638889,99.64166667,2009,"July","August",2023-07-31,212,28,13.4930916269343
"83","Liu_2013","China",27.90638889,99.64166667,2010,"July","August",2023-07-31,212,28,13.4930916269343
"84","Macgregor_2019","United Kingdom",53.841183,-0.449788,2015,"June","August",2023-07-16,197,54,16.5395421025978
"85","Luo_2011","China",24.36694444,101.65027778,2009,"May","May",2023-05-16,136,24,13.2957946649325
"86","McMullen_2009","Ecuador",0.554473,-90.73136,1993,"June","July",2023-07-01,182,1,12.177953311162
"87","Miller_2013","United States",39.43361111,-122.6175,2013,"May","May",2023-05-16,136,39,14.2871838859302
"88","Miller_2013","United States",37.58361111,-121.93361111,1993,"May","May",2023-05-16,136,38,14.2084101126394
"89","Miyake_2003","Japan",34.521985,139.278912,1998,"July","August",2023-07-31,212,35,13.939133912759
"90","Molina-Freaner_2003","Mexico",29.01694444,-110.95027778,2001,"March","March",2023-03-16,75,29,11.974877923958
"91","Molina-Freaner_2003","Mexico",28.90027778,-112.01694444,2002,"May","May",2023-05-16,136,29,13.5891676134851
"92","Molina-Freaner_2004","Mexico",28.68361111,-110.26694444,1998,"January","February",2023-01-30,30,29,10.7658778820863
"93","Morinaga_2009","Japan",35.504526,135.483643,2003,"July","August",2023-07-31,212,36,14.0094623723022
"94","Morinaga_2009","Japan",35.504526,135.483643,2004,"July","August",2023-07-31,212,36,14.0094623723022
"95","Morinaga_2009","Japan",35.504526,135.483643,2005,"July","August",2023-07-31,212,36,14.0094623723022
"96","Morse_1983","United States",44.015492,-69.42685,1981,"July","August",2023-07-31,212,44,14.65763400468
"97","Morse_1983","United States",44.015492,-69.42685,1982,"July","August",2023-07-31,212,44,14.65763400468
"98","Nakajima_2018","Japan",34.743692,139.398294,2016,"July","August",2023-07-31,212,35,13.939133912759
"99","Ohashi_2021","Germany",49.84027778,8.94861111,2018,"April","May",2023-05-01,121,50,14.6223475869183
"100","Ortega-Baes_2011","Argentina",-24.86638889,-61.36583333,2000,"November","November",2023-11-15,319,-25,13.3073014524326
"101","Ortega-Baes_2011","Argentina",-24.86638889,-61.36583333,2001,"November","November",2023-11-15,319,-25,13.3073014524326
"102","Ortega-Baes_2011","Argentina",-24.86638889,-61.36583333,2002,"November","November",2023-11-15,319,-25,13.3073014524326
"103","Pandit_2001","India",20.761627,86.93278,1997,"December","April",2023-08-15,227,21,12.8717249002212
"104","Payne_2016","South Africa",-25.68361111,27.98361111,2013,"July","August",2023-07-31,212,-26,10.8839823739833
"105","Pelletier_2001","Canada",50.26694444,-63.56666667,1999,"June","June",2023-06-15,166,50,16.2534449863604
"106","Queiroz_2016","Brazil",-7.47916667,-36.905,2011,"June","October",2023-08-16,228,-7,11.8813510765139
"107","Queiroz_2015","Brazil",-7.47916667,-36.905,2012,"July","October",2023-08-31,243,-7,11.9656171499438
"108","Robertson_2020","United States",35.531633,-93.403026,2019,"April","April",2023-04-15,105,36,13.0672841591316
"109","Rodger_2010","South Africa",-29.60027778,30.11694444,2006,"February","February",2023-02-14,45,-30,13.1750165614118
